"inflammatory_bowel_disease"	"platelet_counts"	"rheumatoid_arthritis"	"multiple_sclerosis"	"c.reactive_protein"	"hdl_cholesterol"	"ldl_cholesterol"	"cholesterol__total"	"systemic_lupus_erythematosus"	"telomere_length"	"type_2_diabetes"	"metabolite_levels"	"ulcerative_colitis"	"breast_cancer"	"crohns_disease"	"type_1_diabetes"	"celiac_disease"
"H3K4me3_Mobilized_CD34_Primary_Cells"	14.4013245528149	13.6130245738366	2.02396753534637	3.84303332426914	0	0.307340903826095	0.0422508307781804	0.0604081667091642	1.50138575903164	1.882911522331	0	0.121131772185921	1.59011034647285	1.1692845202237	3.14372700252608	0.42389202438618	0.186489591999993
"H3K4me3_Treg_Primary_Cells"	15.7068480721505	4.87319292935928	13.2404229967281	7.78957442436782	0	0	0.0422508307781804	0.625321834635795	3.80068757092525	1.45682073384637	0	0.121131772185921	1.59011034647285	0.946579290177883	2.5439312067177	5.34838189983424	3.22121155240913
"H3K4me3_CD4_Memory_Primary_Cells"	13.1767032471153	1.58399679086293	4.0763031060928	10.1520941158527	0	0.0287669526226672	0	0.182525924781394	2.08270726800018	1.87589330218286	0	0.121131772185921	0.103670782055566	1.66791893904423	3.35042540468238	1.81217813915265	2.18912159412699
"H3K4me3_CD4_Naive_Primary_Cells"	9.84479027246357	1.89119448160979	3.80780923042265	7.78957442436782	0	0.249765693009147	0.220358858647316	0.625321834635795	1.50138575903164	1.87589330218286	0	0.121131772185921	0.869671235384765	0.890339665944661	3.36540019110769	2.69249247789812	2.15602508882582
"H3K4me3_CD8_Memory_Primary_Cells"	11.2292577652199	1.5667798069261	4.19085919549223	7.02218740307063	0	0.0863335211291833	0.0422508307781804	0.625321834635795	2.08270726800018	1.87589330218286	0	0.0691610908897964	0.869671235384765	0.651329990938136	2.74792598985936	2.69249247789812	2.6473320429723
"H3K4me3_Adult_Liver"	1.20729191098762	2.35222622345616	-0.0237193177670265	0.279796570749981	6.62056747877695	3.94613365377069	5.26660602935987	6.10962407554353	0.688737679763068	1.47059342285362	0	1.68717345390588	0	-0.0375195230753764	-0.0305145860751441	0	0.0582814415693976
"H3K4me3_Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells"	2.72702267344493	1.63565576922626	0.139042339955858	0.711294178967332	0	2.39021999959419	0.543494893976614	0.680670693699846	1.50138575903164	1.6532427407713	0	0.178265482426641	0.0103789751405936	1.66878332196898	0.0305145860751441	-0.768494126606282	0
"H3K4me3_Colon_Smooth_Muscle"	2.72702267344493	1.58399679086293	0.0743976916292982	0	0	0.0863335211291833	0.398225571674584	0.625321834635795	0.948553461039332	1.87589330218286	0	0.178265482426641	0.514305058560549	1.79640976143094	0.75526895740786	0	0
"H3K4me3_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	2.54513215463693	3.10662331891101	0.462982771772875	0.585771822205225	0	0.307340903826095	0.49811562168779	0.332491121361892	0.99901684919717	2.03328077626351	0	0.121131772185921	0.0760923525290938	0.560583239958119	1.13271185015888	-0.359203091704039	0.0582814415693976
"H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	2.54473453226511	3.43621365323298	0.277384939799674	0.89461645827774	0	0.33954697007888	0.266902455279459	0.442771755024521	1.48043045715855	2.03328077626351	0	-0.121131772185921	0	1.66878332196898	0.144909829876783	-0.271683122920769	0.0797263441742342
"H3K4me3_Stomach_Smooth_Muscle"	2.94444935007094	2.92398871766125	-0.0645618873767488	0.814014162617873	0	0.33954697007888	0.49811562168779	0.529575168396667	0.688737679763068	2.03328077626351	0	0.121131772185921	0.103670782055566	1.79640976143094	0.671459409582496	0	0
"H3K4me3_Pancreatic_Islets"	0.886682572093535	1.28339553858819	0.0397599222078492	0.261926923660732	0	0.307340903826095	0.876601761678496	0.625321834635795	0.754107876721081	2.03328077626351	0.1380486322908	0.178954116764192	-0.103670782055566	0.560583239958119	0.236907253365982	0	0
"H3K4me3_Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.904699951771451	1.48050083744029	0.110151400548719	0.814014162617873	0	0.206183184275349	2.32477039672297	0.625321834635795	0.938957381876487	1.87589330218286	0	0.178265482426641	0.103670782055566	0.821107074979801	0.144909829876783	-0.128248886118059	0
"H3K4me3_Brain_Substantia_Nigra"	1.13048705833093	3.10662331891101	0.0397599222078492	0.517861841291903	0	0.0863335211291833	1.25650168163365	0.625321834635795	0.680907947817082	2.03328077626351	0	0.178265482426641	0.0325288265465944	0.40829538647847	-0.0305145860751441	0	0
"H3K4me3_Brain_Anterior_Caudate"	1.46977313017437	2.6227489626976	0.462982771772875	1.23933596578536	0	0.0863335211291833	1.67073880641189	0.625321834635795	0.820002262074738	2.03328077626351	0	0.178954116764192	-0.0282202751726758	0.595522266099685	-0.0305145860751441	0	0
