foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
###H3K4me3_Stomach_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	7	27	1025	16247	5.23	1.13e-03	Fisher-Exact		
cholesterol__total	9	89	1025	16247	1.68	1.82e-01	Fisher-Exact		
ulcerative_colitis	9	115	1025	16247	1.26	4.42e-01	Fisher-Exact		
crohns_disease	18	193	1025	16247	1.54	1.13e-01	Chi-squared		
c-reactive_protein	2	46	1025	16247	0.67	1.00e+00	Fisher-Exact		
type_2_diabetes	7	192	1025	16247	0.56	1.37e-01	Fisher-Exact		
multiple_sclerosis	16	162	1025	16247	1.64	8.64e-02	Chi-squared		
type_1_diabetes	4	78	1025	16247	0.80	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	17	117	1025	16247	2.55	5.01e-04	Chi-squared		
ldl_cholesterol	10	103	1025	16247	1.60	1.53e-01	Fisher-Exact		
celiac_disease	3	58	1025	16247	0.81	1.00e+00	Fisher-Exact		
hdl_cholesterol	14	133	1025	16247	1.76	6.73e-02	Chi-squared		
breast_cancer	19	142	1025	16247	2.32	9.40e-04	Chi-squared		
metabolite_levels	7	98	1025	16247	1.14	6.76e-01	Fisher-Exact		
platelet_counts	13	76	1025	16247	3.09	2.68e-04	Chi-squared		
rheumatoid_arthritis	10	185	1025	16247	0.85	7.60e-01	Fisher-Exact		
systemic_lupus_erythematosus	9	90	1025	16247	1.66	1.85e-01	Fisher-Exact		
###H3K4me3_CD3_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	4	27	566	16247	4.85	1.35e-02	Fisher-Exact		
cholesterol__total	6	89	566	16247	2.01	1.32e-01	Fisher-Exact		
ulcerative_colitis	5	115	566	16247	1.26	6.03e-01	Fisher-Exact		
crohns_disease	8	193	566	16247	1.20	5.52e-01	Fisher-Exact		
c-reactive_protein	2	46	566	16247	1.26	6.75e-01	Fisher-Exact		
type_2_diabetes	6	192	566	16247	0.89	1.00e+00	Fisher-Exact		
multiple_sclerosis	17	162	566	16247	3.32	2.94e-06	Chi-squared		
type_1_diabetes	4	78	566	16247	1.50	3.51e-01	Fisher-Exact		
inflammatory_bowel_disease	12	117	566	16247	3.21	1.72e-04	Chi-squared		
ldl_cholesterol	5	103	566	16247	1.42	4.11e-01	Fisher-Exact		
celiac_disease	10	58	566	16247	5.86	2.81e-05	Fisher-Exact		
