"telomere_length"	"cholesterol__total"	"ulcerative_colitis"	"crohns_disease"	"c.reactive_protein"	"type_2_diabetes"	"multiple_sclerosis"	"type_1_diabetes"	"inflammatory_bowel_disease"	"ldl_cholesterol"	"celiac_disease"	"hdl_cholesterol"	"breast_cancer"	"metabolite_levels"	"platelet_counts"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"
"H3K4me3_Stomach_Smooth_Muscle"	0.00926230811137	0.295409754421143	0.7876426377832	0.213078970800111	-1	-1	0.153456693878438	-1	0.00113645082939373	0.317602840793333	-1	0.45756524533764	0.015980495404684	0.756603294137613	0.0011912729551635	-0.861862753692467	0.204768109268194
"H3K4me3_CD3_Primary_Cells"	0.0219073147897333	0.236961704626842	0.891900190138261	0.7511277640196	1	-1	1.665754805226e-05	0.8443197732108	0.000418285901723714	0.578136226124846	0.0006008809665938	0.763753889474571	0.11308909010396	0.756603294137613	0.024418476336113	0.266763922634308	0.0372153859230833
"H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.00926230811137	0.360768196187407	-1	0.716292114482333	1	-1	0.1274628256052	-0.53495453936	0.00285276151950952	0.540875792721636	0.832288043776428	0.45756524533764	0.02143959998	-0.756603294137613	0.0003662573482779	0.527977068334455	0.0330803078756364
"H3K4me3_CD8_Naive_Primary_Cells"	0.0130944866634909	0.236961704626842	0.22727645327035	0.0569442180657778	1	-1	1.9277520434964e-07	0.010344103603095	8.65530106828222e-09	0.745756455309786	0.00118679240655533	-1	0.128724239307583	0.756603294137613	0.00730596471156	0.0140958523768143	0.067404842266
"H3K4me3_Adipose_Nuclei"	0.025359057662675	-0.870145409311576	0.25703711490382	0.213078970800111	1	1	0.000352683088431375	-1	1.1887503654654e-07	-1	0.874416931664211	0.49278683411	0.0259615420570333	0.852783736127	1.50625150365333e-05	0.428684367925	0.0372701614253385
"H3K4me3_CD8_Memory_Primary_Cells"	0.0133078132524389	0.236961704626842	0.134998444558	0.001786792044443	-1	-1	9.501946852295e-08	0.00203005368065267	5.8985088421285e-12	0.907296361453125	0.0022525163760235	0.819721788362643	0.223187572730875	0.852783736127	0.0271156608346857	6.443781483013e-05	0.00826594920166
"H3K4me3_Brain_Hippocampus_Middle"	0.0140677558016305	0.236961704626842	0.965228485858414	-1	1	-1	0.41094061709669	1	0.0121461559621736	0.230992102635156	1	0.7022935288602	0.253791886457053	0.663337450988267	0.00626410475289	0.527977068334455	0.20849327544103
"H3K4me3_Brain_Inferior_Temporal_Lobe"	0.0795785873980323	0.35003526876648	-0.965228485858414	-0.932149162953125	1	-1	0.4433857735028	-1	0.0130286168848138	0.286091599637143	-1	0.49278683411	0.441211056246786	0.663337450988267	0.00444399719905846	0.527977068334455	0.18077302228163
"H3K4me3_Brain_Cingulate_Gyrus"	0.0853053413472606	0.2660860679327	-0.965228485858414	-0.932149162953125	1	-1	0.19440427951664	1	0.0537749513291103	0.286091599637143	-1	0.678999921399	0.36082400241688	0.663337450988267	0.00546827577273867	0.842562853734828	0.187889312347586
"H3K4me3_CD19_Primary_Cells"	0.0474406649726667	-1	0.890884513960727	0.0864081729839538	1	-1	0.00487604857956667	0.757219187863846	3.45134415713629e-09	-0.905016624331793	0.0970531834092222	-0.819721788362643	-1	0.739932890202	0.010687842953236	8.19296598850933e-05	0.00826594920166
