"metabolite_levels"	"ldl_cholesterol"	"hdl_cholesterol"	"cholesterol__total"	"c.reactive_protein"	"telomere_length"	"platelet_counts"	"breast_cancer"	"type_1_diabetes"	"celiac_disease"	"ulcerative_colitis"	"crohns_disease"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"	"multiple_sclerosis"	"inflammatory_bowel_disease"
"metabolite_levels"	1	0.601832926273346	0.0611330196261406	0.385638624429703	0.313832551240921	-0.0831530764698982	-0.323576539754868	-0.493530064821243	-0.383648306131363	-0.568656027317047	-0.553714334964752	-0.511537492275238	-0.505443096160889	-0.580946981906891	-0.685510575771332	-0.685259103775024
"ldl_cholesterol"	0.601832926273346	1	0.277714252471924	0.618555009365082	0.302343726158142	0.0219833999872208	-0.0981800928711891	-0.396740764379501	-0.606851279735565	-0.684149384498596	-0.495393425226212	-0.583225786685944	-0.674853980541229	-0.709430932998657	-0.669334828853607	-0.723046600818634
"hdl_cholesterol"	0.0611330196261406	0.277714252471924	1	0.0187210775911808	0.303831219673157	-0.0263975393027067	0.0932126417756081	0.00175798602867872	-0.439758837223053	-0.235805124044418	-0.397375762462616	-0.367328345775604	-0.543778002262115	-0.378349006175995	-0.427842736244202	-0.351847767829895
"cholesterol__total"	0.385638624429703	0.618555009365082	0.0187210775911808	1	0.318352937698364	-0.149281308054924	-0.294552057981491	-0.148330226540565	-0.146727353334427	-0.193530663847923	-0.114278197288513	-0.201467752456665	-0.359216302633286	-0.286269128322601	-0.259292632341385	-0.225031450390816
"c.reactive_protein"	0.313832551240921	0.302343726158142	0.303831219673157	0.318352937698364	1	-0.187320575118065	0.0778379142284393	-0.302093267440796	-0.0643577352166176	0	-0.195024520158768	-0.263380169868469	-0.272582739591599	-0.233943238854408	-0.262775272130966	-0.243221193552017
"telomere_length"	-0.0831530764698982	0.0219833999872208	-0.0263975393027067	-0.149281308054924	-0.187320575118065	1	0.103242583572865	0.246736094355583	-0.12426645308733	0.0296378321945667	0.0745062679052353	0.2290049046278	-0.0737321898341179	-0.000465492688817903	-0.0193342659622431	-0.109458699822426
"platelet_counts"	-0.323576539754868	-0.0981800928711891	0.0932126417756081	-0.294552057981491	0.0778379142284393	0.103242583572865	1	0.177643284201622	-0.0145587781444192	-0.00239748531021178	0.0534927770495415	-0.0644540563225746	0.0105523969978094	0.0684492141008377	0.143106147646904	0.124988541007042
"breast_cancer"	-0.493530064821243	-0.396740764379501	0.00175798602867872	-0.148330226540565	-0.302093267440796	0.246736094355583	0.177643284201622	1	0.0903244763612747	0.105750255286694	0.333701610565186	0.277557939291	0.197316527366638	0.435354769229889	0.394340634346008	0.403380423784256
"type_1_diabetes"	-0.383648306131363	-0.606851279735565	-0.439758837223053	-0.146727353334427	-0.0643577352166176	-0.12426645308733	-0.0145587781444192	0.0903244763612747	1	0.703789532184601	0.540269672870636	0.539151132106781	0.688685774803162	0.486995488405228	0.701744258403778	0.679347336292267
"celiac_disease"	-0.568656027317047	-0.684149384498596	-0.235805124044418	-0.193530663847923	0	0.0296378321945667	-0.00239748531021178	0.105750255286694	0.703789532184601	1	0.519192636013031	0.637259781360626	0.645854413509369	0.667246401309967	0.713112473487854	0.700768649578094
"ulcerative_colitis"	-0.553714334964752	-0.495393425226212	-0.397375762462616	-0.114278197288513	-0.195024520158768	0.0745062679052353	0.0534927770495415	0.333701610565186	0.540269672870636	0.519192636013031	1	0.792480707168579	0.636749088764191	0.613996386528015	0.597776234149933	0.796344339847565
"crohns_disease"	-0.511537492275238	-0.583225786685944	-0.367328345775604	-0.201467752456665	-0.263380169868469	0.2290049046278	-0.0644540563225746	0.277557939291	0.539151132106781	0.637259781360626	0.792480707168579	1	0.635511875152588	0.673913240432739	0.618138313293457	0.810612440109253
"rheumatoid_arthritis"	-0.505443096160889	-0.674853980541229	-0.543778002262115	-0.359216302633286	-0.272582739591599	-0.0737321898341179	0.0105523969978094	0.197316527366638	0.688685774803162	0.645854413509369	0.636749088764191	0.635511875152588	1	0.745725929737091	0.799724698066711	0.764657437801361
"systemic_lupus_erythematosus"	-0.580946981906891	-0.709430932998657	-0.378349006175995	-0.286269128322601	-0.233943238854408	-0.000465492688817903	0.0684492141008377	0.435354769229889	0.486995488405228	0.667246401309967	0.613996386528015	0.673913240432739	0.745725929737091	1	0.723647594451904	0.796786069869995
"multiple_sclerosis"	-0.685510575771332	-0.669334828853607	-0.427842736244202	-0.259292632341385	-0.262775272130966	-0.0193342659622431	0.143106147646904	0.394340634346008	0.701744258403778	0.713112473487854	0.597776234149933	0.618138313293457	0.799724698066711	0.723647594451904	1	0.788937866687775
"inflammatory_bowel_disease"	-0.685259103775024	-0.723046600818634	-0.351847767829895	-0.225031450390816	-0.243221193552017	-0.109458699822426	0.124988541007042	0.403380423784256	0.679347336292267	0.700768649578094	0.796344339847565	0.810612440109253	0.764657437801361	0.796786069869995	0.788937866687775	1
