"metabolite_levels"	"ldl_cholesterol"	"hdl_cholesterol"	"cholesterol__total"	"c.reactive_protein"	"telomere_length"	"platelet_counts"	"breast_cancer"	"type_1_diabetes"	"celiac_disease"	"ulcerative_colitis"	"crohns_disease"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"	"multiple_sclerosis"	"inflammatory_bowel_disease"
"metabolite_levels"	NA	0.000268611958372134	0.739607719466444	0.0292713997188501	0.0802615554046791	0.650941135239597	0.0708321404186965	0.00409932949203773	0.0301882954164912	0.000684235727378191	0.00101036322024917	0.0027680419142837	0.00316896612772477	0.000489581433324782	1.49484288451962e-05	1.50998112515843e-05
"ldl_cholesterol"	0.000268611958372134	NA	0.123819574214412	0.000161065994259246	0.0925901726115159	0.904939872113772	0.592934627986808	0.0245646800032493	0.000231083605521043	1.57845206278928e-05	0.00393991054028886	0.000459446350328463	2.27182598651066e-05	5.46791534139501e-06	2.80327770891819e-05	2.94778919207594e-06
"hdl_cholesterol"	0.739607719466444	0.123819574214412	NA	0.918996617782183	0.0909172914035556	0.885965843763822	0.611861080225391	0.992381115441161	0.011786232542911	0.193856012465727	0.024315499698655	0.0386231737486558	0.00129642129984542	0.0327442047758069	0.0145779710247815	0.0482881955045433
"cholesterol__total"	0.0292713997188501	0.000161065994259246	0.918996617782183	NA	0.0757735705561418	0.414815307895175	0.101738615749442	0.417827992714775	0.422932892249371	0.288556968969517	0.533428515525928	0.268849304237488	0.0434719787828386	0.112195679480268	0.151838665667146	0.215612045440685
"c.reactive_protein"	0.0802615554046791	0.0925901726115159	0.0909172914035556	0.0757735705561418	NA	0.30460441401672	0.671972250526927	0.0928741376183779	0.726383065168499	1	0.28477897510651	0.145258467117855	0.131206798217434	0.197501990481316	0.14621894870251	0.179799645814357
"telomere_length"	0.650941135239597	0.904939872113772	0.885965843763822	0.414815307895175	0.30460441401672	NA	0.57391278187711	0.173394992395784	0.498010552468145	0.872076344914859	0.685281561622394	0.207402146291803	0.688387354756127	0.997982587708525	0.916352539933961	0.550939311102221
"platelet_counts"	0.0708321404186965	0.592934627986808	0.611861080225391	0.101738615749442	0.671972250526927	0.57391278187711	NA	0.33070901990927	0.936965584335308	0.989609736941909	0.771227407913979	0.72598921579092	0.95429036868154	0.709714972457866	0.434592521620421	0.49549696192057
"breast_cancer"	0.00409932949203773	0.0245646800032493	0.992381115441161	0.417827992714775	0.0928741376183779	0.173394992395784	0.33070901990927	NA	0.622980460801972	0.564593261384792	0.0619710228004011	0.124039949449225	0.279044460501629	0.012760437814505	0.0255255491059152	0.0220603458852191
"type_1_diabetes"	0.0301882954164912	0.000231083605521043	0.011786232542911	0.422932892249371	0.726383065168499	0.498010552468145	0.936965584335308	0.622980460801972	NA	6.99260622516462e-06	0.00141314115269453	0.00145223654474491	1.31514341219496e-05	0.00470304773215235	7.63421309635248e-06	1.90823099806003e-05
"celiac_disease"	0.000684235727378191	1.57845206278928e-05	0.193856012465727	0.288556968969517	1	0.872076344914859	0.989609736941909	0.564593261384792	6.99260622516462e-06	NA	0.0023272607235898	8.77147719757776e-05	6.54475766899143e-05	3.03193969206639e-05	4.64266770183741e-06	7.95865528591122e-06
"ulcerative_colitis"	0.00101036322024917	0.00393991054028886	0.024315499698655	0.533428515525928	0.28477897510651	0.685281561622394	0.771227407913979	0.0619710228004011	0.00141314115269453	0.0023272607235898	NA	6.46768876233494e-08	8.92295952668043e-05	0.000185695496951466	0.000302808186864345	5.01679979780789e-08
"crohns_disease"	0.0027680419142837	0.000459446350328463	0.0386231737486558	0.268849304237488	0.145258467117855	0.207402146291803	0.72598921579092	0.124039949449225	0.00145223654474491	8.77147719757776e-05	6.46768876233494e-08	NA	9.29969733416414e-05	2.35542978381797e-05	0.000163189593215707	1.8696940662366e-08
"rheumatoid_arthritis"	0.00316896612772477	2.27182598651066e-05	0.00129642129984542	0.0434719787828386	0.131206798217434	0.688387354756127	0.95429036868154	0.279044460501629	1.31514341219496e-05	6.54475766899143e-05	8.92295952668043e-05	9.29969733416414e-05	NA	9.68476983498334e-07	3.99912722937046e-08	3.48756709733777e-07
"systemic_lupus_erythematosus"	0.000489581433324782	5.46791534139501e-06	0.0327442047758069	0.112195679480268	0.197501990481316	0.997982587708525	0.709714972457866	0.012760437814505	0.00470304773215235	3.03193969206639e-05	0.000185695496951466	2.35542978381797e-05	9.68476983498334e-07	NA	2.86611694444439e-06	4.87151969874589e-08
"multiple_sclerosis"	1.49484288451962e-05	2.80327770891819e-05	0.0145779710247815	0.151838665667146	0.14621894870251	0.916352539933961	0.434592521620421	0.0255255491059152	7.63421309635248e-06	4.64266770183741e-06	0.000302808186864345	0.000163189593215707	3.99912722937046e-08	2.86611694444439e-06	NA	8.12652354298393e-08
"inflammatory_bowel_disease"	1.50998112515843e-05	2.94778919207594e-06	0.0482881955045433	0.215612045440685	0.179799645814357	0.550939311102221	0.49549696192057	0.0220603458852191	1.90823099806003e-05	7.95865528591122e-06	5.01679979780789e-08	1.8696940662366e-08	3.48756709733777e-07	4.87151969874589e-08	8.12652354298393e-08	NA
